PREP0311_NMeji15612A_A01v1_20908_bl_S1_L003	AC_1873_20908.bl
PREP0311_NMeji15612A_A02v1_72872_bl_S9_L003	AC_1603_72872.bl
PREP0311_NMeji15612A_A03v1_366494_h_S17_L003	AW_366494.h
PREP0311_NMeji15612A_A04v1_365326_h_S25_L003	AW_365326.h
PREP0311_NMeji15612A_A05v1_366488_l_S33_L003	AW_366488.l
PREP0311_NMeji15612A_A06v1_366497_l_S41_L003	AW_366497.l
PREP0311_NMeji15612A_A07v1_365339_g_S49_L003	AW_365339.g
PREP0311_NMeji15612A_A08v1_366497_br_S57_L003	AW_366497.br
PREP0311_NMeji15612A_B01v1_10993_bl_S2_L003	AC_1873_10093.bl
PREP0311_NMeji15612A_B02v1_10702_bl_S10_L003	AC_1873_10702.bl
PREP0311_NMeji15612A_B03v1_366493_h_S18_L003	AW_366493.h
PREP0311_NMeji15612A_B04v1_365339_h_S26_L003	AW_365339.h
PREP0311_NMeji15612A_B05v1_366487_l_S34_L003	AW_366487.l
PREP0311_NMeji15612A_B06v1_366499_g_S42_L003	AW_366499.g
PREP0311_NMeji15612A_B07v1_366497_g_S50_L003	AW_366497.g
PREP0311_NMeji15612A_B08v1_366487_e_S58_L003	AW_366487.e
PREP0311_NMeji15612A_C01v1_20946_bl_S3_L003	AC_1873_20946.bl
PREP0311_NMeji15612A_C02v1_10752_bl_S11_L003	AC_1873_10752.bl
PREP0311_NMeji15612A_C03v1_366490_h_S19_L003	AW_366490.h
PREP0311_NMeji15612A_C04v1_366497_h_S27_L003	AW_366497.h
PREP0311_NMeji15612A_C05v1_365338_l_S35_L003	AW_365338.l
PREP0311_NMeji15612A_C06v1_366498_g_S43_L003	AW_366498.g
PREP0311_NMeji15612A_C07v1_366499_br_S51_L003	AW_366499.br
PREP0311_NMeji15612A_C08v1_365337_e_S59_L003	AW_365337.e
PREP0311_NMeji15612A_D01v1_20952_bl_S4_L003	AC_1873_20954.bl
PREP0311_NMeji15612A_D02v1_89780_bl_S12_L003	AC_1713_89780.bl
PREP0311_NMeji15612A_D03v1_366488_h_S20_L003	AW_366488.h
PREP0311_NMeji15612A_D04v1_366499_l_S28_L003	AW_366499.l
PREP0311_NMeji15612A_D05v1_365337_l_S36_L003	AW_365337.l
PREP0311_NMeji15612A_D06v1_366493_g_S44_L003	AW_366493.g
PREP0311_NMeji15612A_D07v1_366498_br_S52_L003	AW_366498.br
PREP0311_NMeji15612A_D08v1_365336_e_S60_L003	AW_365336.e
PREP0311_NMeji15612A_E01v1_20934_bl_S5_L003	AC_1873_20934.bl
PREP0311_NMeji15612A_E02v1_10717_bl_S13_L003	AC_1873_10717.bl
PREP0311_NMeji15612A_E03v1_366487_h_S21_L003	AW_366487.h
PREP0311_NMeji15612A_E04v1_366498_l_S29_L003	AW_366498.l
PREP0311_NMeji15612A_E05v1_365336_l_S37_L003	AW_365336.l
PREP0311_NMeji15612A_E06v1_366490_g_S45_L003	AW_366490.g
PREP0311_NMeji15612A_E07v1_366494_br_S53_L003	AW_366494.br
PREP0311_NMeji15612A_E08v1_365335_e_S61_L003	AW_365335.e
PREP0311_NMeji15612A_F01v1_20970_bl_S6_L003	AC_1873_20970.bl
PREP0311_NMeji15612A_F02v1_72852_bl_S14_L003	AC_1603_72852.bl
PREP0311_NMeji15612A_F03v1_365338_h_S22_L003	AW_365338.h
PREP0311_NMeji15612A_F04v1_366494_l_S30_L003	AW_366494.l
PREP0311_NMeji15612A_F05v1_365335_l_S38_L003	AW_365335.l
PREP0311_NMeji15612A_F06v1_366488_g_S46_L003	AW_366488.g
PREP0311_NMeji15612A_F07v1_366493_br_S54_L003	AW_366493.br
PREP0311_NMeji15612A_F08v1_365326_e_S62_L003	AW_365326.e
PREP0311_NMeji15612A_G01v1_20930_bl_S7_L003	AC_1873_20930.bl
PREP0311_NMeji15612A_G02v1_366499_h_S15_L003	AW_366499.h
PREP0311_NMeji15612A_G03v1_365337_h_S23_L003	AW_365337.h
PREP0311_NMeji15612A_G04v1_366493_l_S31_L003	AW_366493.l
PREP0311_NMeji15612A_G05v1_365327_l_S39_L003	AW_365327.l
PREP0311_NMeji15612A_G06v1_365337_g_S47_L003	AW_365337.g
PREP0311_NMeji15612A_G07v1_366488_br_S55_L003	AW_366488.br
PREP0311_NMeji15612A_H01v1_10831_bl_S8_L003	AC_1873_10831.bl
PREP0311_NMeji15612A_H02v1_366498_h_S16_L003	AW_366498.h
PREP0311_NMeji15612A_H03v1_365327_h_S24_L003	AW_365327.h
PREP0311_NMeji15612A_H04v1_366490_l_S32_L003	AW_366490.l
PREP0311_NMeji15612A_H05v1_365339_l_S40_L003	AW_365339.l
PREP0311_NMeji15612A_H06v1_365335_g_S48_L003	AW_365335.g
PREP0311_NMeji15612A_H07v1_366487_br_S56_L003	AW_366487.br
